Date,Merchant,Category,Amount
2024-01-01,Monthly Freelance Income,Income,3500.00
2024-01-05,Coffee Shop,Dining,12.75
2024-01-08,Adobe Creative Cloud,Subscriptions,52.99
2024-01-09,Uber,Transport,24.50
2024-01-10,Local Cafe,Dining,15.75
2024-01-11,Uber,Transport,18.75
2024-01-12,Office Supply Store,Shopping,85.45
2024-01-13,Uber,Transport,22.25
2024-01-15,Grocery Store,Groceries,125.30
2024-01-16,Apple App Store,Subscriptions,9.99
2024-01-17,Uber,Transport,19.50
2024-01-18,Gas Station,Transport,45.50
2024-01-19,Uber,Transport,26.75
2024-01-20,Internet Provider,Subscriptions,75.00
2024-01-22,Amazon Electronics,Shopping,249.99
2024-01-25,Rent Payment,Housing,950.00
2024-01-26,Uber,Transport,21.50
2024-01-28,Health Insurance,Healthcare,325.00
2024-01-30,Mobile Provider,Subscriptions,85.00
2024-02-03,Tech Conference,Education,125.00
2024-02-04,Uber,Transport,23.75
2024-02-06,Restaurant,Dining,42.75
2024-02-07,Uber,Transport,17.99
2024-02-10,Grocery Store,Groceries,132.50
2024-02-11,Uber,Transport,25.25
2024-02-12,Co-working Space,Housing,150.00
2024-02-14,Best Buy,Shopping,179.99
2024-02-15,Computer Repair,Shopping,350.00
2024-02-16,Apple App Store,Subscriptions,9.99
2024-02-17,Uber,Transport,20.50
2024-02-18,Ride Share,Transport,48.25
2024-02-19,Uber,Transport,22.75
2024-02-20,Online Course,Education,199.99
2024-02-23,Uber,Transport,19.25
2024-02-25,Rent Payment,Housing,950.00
2024-02-27,Uber,Transport,24.99
2024-02-28,Health Insurance,Healthcare,325.00
2024-03-01,Monthly Freelance Income,Income,4200.00
2024-03-02,Mobile Provider,Subscriptions,85.00
2024-03-05,Software License,Shopping,299.99
2024-03-06,Uber,Transport,21.25
2024-03-08,Adobe Creative Cloud,Subscriptions,52.99
2024-03-09,Uber,Transport,18.50
2024-03-10,Local Cafe,Dining,18.25
2024-03-11,Uber,Transport,23.99
2024-03-12,Office Supply Store,Shopping,65.75
2024-03-14,Amazon Electronics,Shopping,329.99
2024-03-14,Project Bonus,Income,750.00
2024-03-15,Grocery Store,Groceries,118.45
2024-03-16,Apple App Store,Subscriptions,9.99
2024-03-17,Uber,Transport,19.75
2024-03-18,Ride Share,Transport,42.75
2024-03-19,Uber,Transport,25.50
2024-03-20,Internet Provider,Subscriptions,75.00
